C.Power Supply Position in States,,,,,,,,Date
RegionRegion,States,"Max. Demand Met
during the day
(MW)","Peak hour
Shortage (MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",01.01.14
SR,Andhra Pradesh,8005,0,163.0,60.1,0.3,445,0.0,01.01.19
,Telangana,8886,0,179.0,81.7,0.8,463,0.0,01.01.19
,Karnataka,10846,0,203.1,71.0,-0.1,462,0.0,01.01.19
,Kerala,3632,0,69.1,58.5,0.5,170,0.0,01.01.19
,Tamil Nadu,13631,0,279.7,136.4,-0.7,364,0.0,01.01.19
,Pondy,357,0,6.7,7.2,-0.5,19,0.0,01.01.19
,Bihar,4362,0,76.8,70.7,0.7,460,0.0,01.01.19
,DVC,3123,0,65.3,-31.4,2.2,396,0.0,01.01.19
ER,Jharkhand,1199,0,26.1,19.0,0.8,169,0.0,01.01.19
,Odisha,3852,0,71.5,24.5,0.9,267,0.0,01.01.19
,West Bengal,6363,0,110.1,21.2,0.9,309,0.0,01.01.19
,Sikkim,95,0,1.4,1.7,-0.3,18,0.0,01.01.19
NER,Arunachal Pradesh,123,2,2.4,1.8,0.6,46,0.0,01.01.19
,Assam,1361,31,23.4,17.0,1.5,76,0.2,01.01.19
,Manipur,203,3,2.8,2.7,0.0,20,0.0,01.01.19
,Meghalaya,338,0,6.6,6.0,-0.3,35,0.0,01.01.19
,Mizoram,93,1,1.8,1.3,0.1,20,0.0,01.01.19
,Nagaland,121,2,2.2,2.0,-0.1,12,0.0,01.01.19
,Tripura,228,1,3.6,1.4,0.1,34,0.0,01.01.19
