C.Power Supply Position in States,,,,,,,,Date
RegionRegion,States,"Max. Demand Met
during the day
(MW)","Peak hour
Shortage (MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",01.01.14
,Puducherry,405,0,8.5,8.5,0.0,42,0.00,18.08.21
ER,Bihar,6084,0,123.7,117.5,-0.4,478,0.00,18.08.21
,DVC,3081,0,67.3,-30.5,0.2,254,0.00,18.08.21
,Jharkhand,1398,252,28.3,22.4,-1.3,198,1.06,18.08.21
,Odisha,5810,0,110.3,29.8,-1.4,268,0.00,18.08.21
,West Bengal,8282,0,169.3,57.4,-0.3,579,0.00,18.08.21
,Sikkim,89,0,1.5,1.5,0.0,45,0.00,18.08.21
NER,Arunachal Pradesh,132,0,2.4,2.3,0.1,40,0.00,18.08.21
,Assam,1946,0,36.6,29.0,0.1,136,0.00,18.08.21
,Manipur,193,0,2.6,2.5,0.1,21,0.00,18.08.21
,Meghalaya,323,0,5.9,1.1,-0.1,43,0.00,18.08.21
,Mizoram,107,0,1.6,1.2,0.1,21,0.00,18.08.21
,Nagaland,134,0,2.5,1.9,0.2,25,0.00,18.08.21
,Tripura,260,0,4.6,4.7,-0.5,34,0.00,18.08.21
NR,Punjab,13219,0,302.7,185.6,-1.2,86,0.00,18.08.22
,Haryana,10269,225,221.6,141.1,1.6,247,0.60,18.08.22
,Rajasthan,9535,0,204.1,7.6,-1.4,356,0.00,18.08.22
,Delhi,5808,0,119.9,109.5,-1.9,87,0.00,18.08.22
,UP,25327,110,510.4,217.1,-0.4,475,3.49,18.08.22
,Uttarakhand,2224,0,49.4,26.9,0.9,143,0.98,18.08.22
,HP,1514,0,31.4,-9.1,-0.1,65,0.35,18.08.22
,J&K(UT) & Ladakh(UT),2690,0,51.1,25.7,0.5,171,0.00,18.08.22
,Chandigarh,346,0,7.0,7.2,-0.3,49,0.00,18.08.22
WR,Chhattisgarh,4374,0,100.4,63.7,0.6,675,0.00,18.08.22
,Gujarat,12768,0,287.8,132.4,-8.5,599,0.00,18.08.22
,MP,9551,0,213.5,101.8,0.0,958,1.39,18.08.22
,Maharashtra,20834,0,454.9,163.8,-0.6,1028,0.00,18.08.22
,Goa,613,0,12.7,13.1,-0.4,53,0.00,18.08.22
,DNHDDPDCL,1179,0,27.6,27.4,0.2,112,0.00,18.08.22
,AMNSIL,841,0,19.0,11.5,0.6,315,0.00,18.08.22
SR,Andhra Pradesh,10215,0,211.6,65.7,2.0,640,0.00,18.08.22
,Telangana,12214,0,220.4,62.3,3.2,1853,0.00,18.08.22
,Karnataka,10634,0,219.0,57.5,-1.8,567,0.00,18.08.22
,Kerala,3739,0,79.3,39.0,-1.3,190,0.00,18.08.22
,Tamil Nadu,15982,0,343.3,176.1,1.3,1195,0.00,18.08.22
,Puducherry,425,0,9.5,8.9,-0.1,77,0.00,18.08.22
ER,Bihar,6810,117,143.4,128.7,4.6,369,6.18,18.08.22
,DVC,3450,0,75.1,-35.3,1.2,238,0.00,18.08.22
,Jharkhand,1545,0,33.6,25.1,-0.9,136,2.06,18.08.22
,Odisha,6300,0,138.3,74.7,-0.9,327,0.00,18.08.22
,West Bengal,9712,0,205.6,82.3,1.6,601,0.00,18.08.22
,Sikkim,98,0,1.6,1.6,0.0,21,0.00,18.08.22
NER,Arunachal Pradesh,139,0,2.6,2.4,-0.2,42,0.00,18.08.22
,Assam,2250,0,47.2,39.4,0.7,240,0.02,18.08.22
,Manipur,180,0,2.6,2.7,0.0,14,0.00,18.08.22
,Meghalaya,323,0,5.9,1.3,0.2,61,0.00,18.08.22
,Mizoram,110,0,1.7,0.5,-0.1,5,0.00,18.08.22
,Nagaland,157,0,2.8,2.4,0.0,20,0.00,18.08.22
,Tripura,281,0,5.6,5.4,0.2,116,0.00,18.08.22
NR,Punjab,14479,0,315.3,185.8,0.6,370,0.00,18.08.23
,Haryana,12692,138,273.1,209.4,0.2,176,4.50,18.08.23
,Rajasthan,17148,154,351.8,124.6,1.7,477,8.02,18.08.23
,Delhi,7114,0,144.3,129.1,-1.3,144,0.00,18.08.23
,UP,25655,610,547.5,263.7,-0.6,444,7.78,18.08.23
,Uttarakhand,2148,0,46.2,24.6,1.6,204,2.40,18.08.23
,HP,1658,0,35.3,-0.4,0.0,108,0.02,18.08.23
,J&K(UT) & Ladakh(UT),2555,0,52.2,28.6,-1.1,151,0.22,18.08.23
,Chandigarh,402,0,7.7,8.0,-0.3,24,0.00,18.08.23
,Railways_NR ISTS,167,0,3.4,3.2,0.2,43,0.00,18.08.23
WR,Chhattisgarh,5187,0,114.6,63.5,-2.6,152,0.00,18.08.23
,Gujarat,21201,0,447.6,148.5,-2.4,498,0.00,18.08.23
,MP,11811,0,255.8,125.7,-3.4,556,0.00,18.08.23
,Maharashtra,25798,0,558.7,216.5,-2.3,994,1.15,18.08.23
,Goa,642,0,13.4,13.2,-0.1,52,0.00,18.08.23
,DNHDDPDCL,1322,0,30.7,30.7,0.0,41,0.00,18.08.23
,AMNSIL,839,0,15.6,5.6,-0.6,296,0.00,18.08.23
,BALCO,522,0,12.4,12.5,-0.1,6,0.00,18.08.23
SR,Andhra Pradesh,11358,0,231.6,73.2,-1.8,679,0.00,18.08.23
,Telangana,12941,0,254.1,132.0,0.6,641,0.00,18.08.23
,Karnataka,15908,0,280.1,104.6,1.5,1065,1.30,18.08.23
,Kerala,4165,0,86.8,67.5,2.2,467,0.00,18.08.23
,Tamil Nadu,17212,0,374.5,150.6,-1.5,524,0.00,18.08.23
,Puducherry,438,0,9.9,9.6,-0.4,37,0.00,18.08.23
ER,Bihar,6813,263,142.8,142.8,-0.6,747,2.43,18.08.23
,DVC,3377,0,75.1,-40.5,0.3,374,0.00,18.08.23
,Jharkhand,1672,0,36.7,31.7,0.5,194,0.35,18.08.23
,Odisha,4925,0,109.4,42.9,-0.6,302,0.00,18.08.23
,West Bengal,9147,0,202.6,81.5,-2.7,152,0.00,18.08.23
,Sikkim,84,0,1.2,1.1,0.1,26,0.00,18.08.23
,Railways_ER ISTS,18,0,0.0,0.2,-0.2,12,0.00,18.08.23
NER,Arunachal Pradesh,158,0,3.1,2.4,0.2,82,0.00,18.08.23
,Assam,2271,130,46.7,37.1,2.6,311,1.39,18.08.23
,Manipur,197,0,2.7,2.7,0.0,21,0.00,18.08.23
,Meghalaya,303,32,5.0,-0.1,0.0,62,0.64,18.08.23
,Mizoram,113,0,1.9,1.5,-0.2,8,0.00,18.08.23
,Nagaland,155,0,2.8,2.7,0.0,15,0.00,18.08.23
,Tripura,325,0,6.1,6.2,0.3,60,0.00,18.08.23
NR,Punjab,14313,0,302.5,196.6,-0.1,467,0.00,18.08.24
,Haryana,10450,0,227.2,162.7,-1.6,254,0.00,18.08.24
,Rajasthan,11030,0,250.1,71.4,-2.5,291,0.00,18.08.24
,Delhi,6338,0,130.4,108.3,3.9,500,0.00,18.08.24
,UP,27440,0,521.2,247.5,-1.3,491,0.00,18.08.24
,Uttarakhand,2246,0,49.9,21.2,-0.2,103,0.00,18.08.24
,HP,1494,0,32.6,-1.3,-0.3,178,0.00,18.08.24
,J&K(UT) & Ladakh(UT),2495,0,48.3,24.3,-0.6,238,0.00,18.08.24
,Chandigarh,300,0,6.0,6.0,0.1,76,0.00,18.08.24
,Railways_NR ISTS,207,0,4.2,3.9,0.3,39,0.00,18.08.24
WR,Chhattisgarh,5117,0,113.1,72.6,-1.2,315,0.00,18.08.24
,Gujarat,18286,0,408.6,171.4,0.1,766,0.00,18.08.24
,MP,11549,0,250.0,131.9,-3.1,612,0.68,18.08.24
,Maharashtra,22873,0,529.9,204.1,3.1,855,0.00,18.08.24
,Goa,614,0,13.6,10.8,2.4,45,0.00,18.08.24
,DNHDDPDCL,1227,0,28.6,28.6,0.0,40,0.00,18.08.24
,AMNSIL,843,0,18.6,7.5,0.7,273,0.00,18.08.24
,BALCO,523,0,12.5,12.5,0.0,7,0.00,18.08.24
SR,Andhra Pradesh,11177,0,228.2,86.6,0.8,937,0.00,18.08.24
,Telangana,13559,0,273.7,142.1,0.1,665,0.00,18.08.24
,Karnataka,9853,0,193.8,41.1,0.4,684,0.00,18.08.24
,Kerala,3820,0,75.5,44.9,0.0,267,0.00,18.08.24
,Tamil Nadu,15088,0,329.2,158.3,-0.1,1236,0.00,18.08.24
,Puducherry,470,0,10.4,9.8,0.0,58,0.00,18.08.24
ER,Bihar,7454,0,141.3,132.8,-2.0,358,0.35,18.08.24
,DVC,3267,0,69.4,-37.4,0.0,407,0.00,18.08.24
,Jharkhand,2042,0,42.0,32.6,-2.0,191,0.00,18.08.24
,Odisha,5900,0,124.0,52.1,-1.9,598,0.00,18.08.24
,West Bengal,10251,0,197.3,71.9,-2.7,207,0.00,18.08.24
,Sikkim,58,0,0.9,1.0,-0.1,11,0.00,18.08.24
,Railways_ER ISTS,23,0,0.2,0.1,0.0,5,0.00,18.08.24
NER,Arunachal Pradesh,161,0,2.9,2.9,-0.5,5,0.00,18.08.24
,Assam,2267,0,43.1,37.4,-1.0,338,0.00,18.08.24
,Manipur,173,0,2.4,2.5,-0.1,58,0.00,18.08.24
,Meghalaya,289,0,5.4,0.2,0.0,102,0.00,18.08.24
,Mizoram,106,0,1.8,0.6,-0.2,12,0.00,18.08.24
,Nagaland,154,0,2.9,2.5,-0.2,13,0.00,18.08.24
,Tripura,287,0,5.0,3.6,0.2,52,0.00,18.08.24
RegionRegion,States,"Max. Demand Met
during the day
(MW)","Peak hour
Shortage (MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",18.09.13
NR,Punjab,7368,0,155.3,98.5,0.7,175,18.09.13
,Haryana,6971,0,151.8,64.3,-1.2,164,18.09.13
,Rajasthan,7903,0,175.3,75.8,-4.7,147,18.09.13
,Delhi,4374,6,93.9,66.8,-3.6,80,18.09.13
,UP,11439,2005,242.2,112.9,-0.4,327,18.09.13
,Uttarakhand,1419,155,30.9,10.9,2.5,328,18.09.13
,HP,1090,76,21.3,2.8,1.3,373,18.09.13
,J&K,1603,100,29.6,15.0,0.9,249,18.09.13
,Chandigarh,228,0,4.6,5.1,-0.5,15,18.09.13
WR,Chhattisgarh,2703,10,66.9,10.7,3.6,170,18.09.13
,Gujarat,11924,20,269.2,72.6,-1.1,475,18.09.13
,MP,6958,0,145.6,73.2,-4.1,202,18.09.13
,Maharashtra,15267,55,321.6,97.5,-4.7,327,18.09.13
,Goa,348,0,7.0,7.5,-0.9,37,18.09.13
,DD,247,0,6.0,6.6,-0.5,31,18.09.13
,DNH,629,0,14.7,14.8,-0.1,42,18.09.13
,Essar steel,369,0,7.0,7.1,-0.1,51,18.09.13
SR,Andhra Pradesh,10312,0,237.5,61.6,-0.6,248,18.09.13
,Karnataka,6415,300,126.8,13.9,-1.5,248,18.09.13
,Kerala,2648,0,47.8,16.4,-1.3,263,18.09.13
,Tamil Nadu,10963,211,240.5,75.3,4.2,510,18.09.13
,Pondy,306,0,6.2,6.6,-0.4,15,18.09.13
ER,Bihar,2069,0,41.5,38.0,3.5,395,18.09.13
,DVC,2301,0,52.9,-30.1,2.9,355,18.09.13
,Jharkhand,848,0,19.2,13.9,-1.0,265,18.09.13
,Odisha,3520,0,70.5,14.4,-1.1,285,18.09.13
,West Bengal,6235,0,118.1,19.3,2.9,350,18.09.13
,Sikkim,73,0,1.0,1.0,0.0,30,18.09.13
NER,Arunachal Pradesh,98,2,1.4,1.5,-0.1,40,18.09.13
,Assam,1095,167,22.9,14.5,2.9,278,18.09.13
,Manipur,114,1,1.3,1.9,-0.6,26,18.09.13
,Meghalaya,218,1,4.9,0.9,0.7,62,18.09.13
,Mizoram,62,1,0.9,1.1,-0.4,5,18.09.13
,Nagaland,100,2,1.7,1.4,0.0,28,18.09.13
,Tripura,217,1,3.9,1.1,1.1,64,18.09.13
RegionRegion,States,"Max. Demand Met
during the day
(MW)","Shortage during
maximum Demand
(MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",18.09.14
NR,Punjab,7232,1100,168.2,83.4,1.8,162,18.09.14
,Haryana,7566,0,157.1,81.5,1.1,214,18.09.14
,Rajasthan,7780,0,172.6,52.6,-0.1,198,18.09.14
,Delhi,4720,0,100.3,69.8,2.6,319,18.09.14
,UP,10780,3615,237.1,92.5,6.8,760,18.09.14
,Uttarakhand,1655,75,33.8,13.9,1.6,184,18.09.14
,HP,1226,0,25.4,5.3,0.3,151,18.09.14
,J&K,1343,0,26.1,14.5,1.2,233,18.09.14
,Chandigarh,266,0,5.2,4.0,1.1,95,18.09.14
WR,Chhattisgarh,2932,42,64.6,18.8,-0.4,98,18.09.14
,Gujarat,10653,48,236.6,74.1,-0.7,277,18.09.14
,MP,6532,0,136.8,57.9,0.6,348,18.09.14
,Maharashtra,16917,52,370.9,133.2,-0.2,482,18.09.14
,Goa,351,0,7.8,7.9,-0.4,22,18.09.14
,DD,253,0,5.2,9.4,-4.2,17,18.09.14
,DNH,614,0,14.5,10.8,3.7,38,18.09.14
,Essar steel,334,0,6.8,7.2,-0.4,100,18.09.14
SR,Andhra Pradesh,5694,50,125.7,32.0,0.9,373,18.09.14
,Telangana,6069,300,137.8,52.4,1.0,371,18.09.14
,Karnataka,7805,280,160.2,29.2,2.2,1198,18.09.14
,Kerala,3274,0,59.7,36.5,2.3,229,18.09.14
,Tamil Nadu,12605,0,267.4,75.3,-3.4,541,18.09.14
,Pondy,300,0,6.2,6.4,-0.2,36,18.09.14
ER,Bihar,2238,250,51.3,45.6,3.2,310,18.09.14
,DVC,2534,0,55.9,-9.0,1.4,260,18.09.14
,Jharkhand,857,59,19.5,11.8,0.8,130,18.09.14
,Odisha,3663,250,74.9,14.1,0.3,170,18.09.14
,West Bengal,6966,17,141.8,39.8,3.3,290,18.09.14
,Sikkim,83,0,1.2,1.1,0.1,24,18.09.14
NER,Arunachal Pradesh,111,2,1.9,1.8,0.0,30,18.09.14
,Assam,1207,115,25.4,15.0,4.2,329,18.09.14
,Manipur,122,3,1.7,2.2,-0.5,44,18.09.14
,Meghalaya,218,2,4.1,0.6,-0.5,27,18.09.14
,Mizoram,74,1,1.0,1.1,-0.1,18,18.09.14
,Nagaland,113,1,1.8,1.3,0.0,37,18.09.14
,Tripura,240,4,3.4,1.5,-0.3,80,18.09.14
RegionRegion,States,"Max. Demand Met
during the day
(MW)","Shortage during
maximum Demand
(MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",18.09.14
NR,Punjab,7232,1100,168.2,83.4,1.8,162,18.09.14
,Haryana,7566,0,157.1,81.5,1.1,214,18.09.14
,Rajasthan,7780,0,172.6,52.6,-0.1,198,18.09.14
,Delhi,4720,0,100.3,69.8,2.6,319,18.09.14
,UP,10780,3615,237.1,92.5,6.8,760,18.09.14
,Uttarakhand,1655,75,33.8,13.9,1.6,184,18.09.14
,HP,1226,0,25.4,5.3,0.3,151,18.09.14
,J&K,1343,0,26.1,14.5,1.2,233,18.09.14
,Chandigarh,266,0,5.2,4.0,1.1,95,18.09.14
WR,Chhattisgarh,2932,42,64.6,18.8,-0.4,98,18.09.14
,Gujarat,10653,48,236.6,74.1,-0.7,277,18.09.14
,MP,6532,0,136.8,57.9,0.6,348,18.09.14
,Maharashtra,16917,52,370.9,133.2,-0.2,482,18.09.14
,Goa,351,0,7.8,7.9,-0.4,22,18.09.14
,DD,253,0,5.2,9.4,-4.2,17,18.09.14
,DNH,614,0,14.5,10.8,3.7,38,18.09.14
,Essar steel,334,0,6.8,7.2,-0.4,100,18.09.14
SR,Andhra Pradesh,5694,50,125.7,32.0,0.9,373,18.09.14
,Telangana,6069,300,137.8,52.4,1.0,371,18.09.14
,Karnataka,7805,280,160.2,29.2,2.2,1198,18.09.14
,Kerala,3274,0,59.7,36.5,2.3,229,18.09.14
,Tamil Nadu,12605,0,267.4,75.3,-3.4,541,18.09.14
,Pondy,300,0,6.2,6.4,-0.2,36,18.09.14
ER,Bihar,2238,250,51.3,45.6,3.2,310,18.09.14
,DVC,2534,0,55.9,-9.0,1.4,260,18.09.14
,Jharkhand,857,59,19.5,11.8,0.8,130,18.09.14
,Odisha,3663,250,74.9,14.1,0.3,170,18.09.14
,West Bengal,6966,17,141.8,39.8,3.3,290,18.09.14
,Sikkim,83,0,1.2,1.1,0.1,24,18.09.14
NER,Arunachal Pradesh,111,2,1.9,1.8,0.0,30,18.09.14
,Assam,1207,115,25.4,15.0,4.2,329,18.09.14
,Manipur,122,3,1.7,2.2,-0.5,44,18.09.14
,Meghalaya,218,2,4.1,0.6,-0.5,27,18.09.14
,Mizoram,74,1,1.0,1.1,-0.1,18,18.09.14
,Nagaland,113,1,1.8,1.3,0.0,37,18.09.14
,Tripura,240,4,3.4,1.5,-0.3,80,18.09.14
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum Demand
(MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",18.09.15
NR,Punjab,8916,0,191.1,98.0,-0.7,145,18.09.15
,Haryana,8714,0,170.7,120.1,-0.3,159,18.09.15
,Rajasthan,10416,0,217.7,72.6,-1.2,133,18.09.15
,Delhi,5207,417,108.5,93.3,-2.0,154,18.09.15
,UP,12306,3855,284.7,141.4,1.5,502,18.09.15
,Uttarakhand,1847,0,38.6,16.0,1.4,161,18.09.15
,HP,1211,0,24.7,8.2,1.3,247,18.09.15
,J&K,1739,435,33.4,20.0,0.2,305,18.09.15
,Chandigarh,266,0,5.2,5.7,0.3,3,18.09.15
WR,Chhattisgarh,2990,0,60.7,19.2,-3.4,144,18.09.15
,Gujarat,14439,0,323.7,73.0,-1.0,368,18.09.15
,MP,7957,0,156.8,81.3,-5.7,175,18.09.15
,Maharashtra,16413,-25,324.2,71.6,-0.1,378,18.09.15
,Goa,301,0,6.5,7.5,-1.3,15,18.09.15
,DD,715,0,5.8,5.7,0.2,23,18.09.15
,DNH,385,0,15.6,15.5,0.1,27,18.09.15
,Essar steel,377,0,4.3,4.3,0.0,73,18.09.15
SR,Andhra Pradesh,5535,0,126.7,15.4,1.8,419,18.09.15
,Telangana,5456,0,119.2,78.5,-4.0,363,18.09.15
,Karnataka,6925,1000,148.2,22.9,0.1,507,18.09.15
,Kerala,3472,0,60.4,42.9,2.2,288,18.09.15
,Tamil Nadu,13007,0,289.5,94.2,5.6,434,18.09.15
,Pondy,312,0,6.6,6.6,0.0,30,18.09.15
ER,Bihar,3259,100,68.5,66.1,2.4,300,18.09.15
,DVC,2478,100,60.9,-21.5,-0.6,320,18.09.15
,Jharkhand,972,0,29.5,13.7,-0.6,154,18.09.15
,Odisha,2748,0,53.9,14.3,-0.6,280,18.09.15
,West Bengal,7524,0,151.0,54.6,-1.0,250,18.09.15
,Sikkim,75,0,1.0,0.8,0.2,21,18.09.15
NER,Arunachal Pradesh,100,2,2.1,1.9,0.1,39,18.09.15
,Assam,1312,137,27.5,18.4,2.9,225,18.09.15
,Manipur,134,1,2.2,2.2,0.0,48,18.09.15
,Meghalaya,252,3,5.3,1.5,0.3,42,18.09.15
,Mizoram,78,1,1.2,1.3,-0.2,11,18.09.15
,Nagaland,108,2,1.4,1.7,-0.3,13,18.09.15
,Tripura,246,2,3.4,1.6,0.0,95,18.09.15
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum Demand
(MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",18.09.16
NR,Punjab,9479,0,211.8,106.0,1.2,175,18.09.16
,Haryana,8729,0,176.2,132.7,-1.9,231,18.09.16
,Rajasthan,9274,0,210.1,72.7,3.5,373,18.09.16
,Delhi,4932,0,103.7,81.6,0.3,177,18.09.16
,UP,14331,0,319.8,139.9,0.2,411,18.09.16
,Uttarakhand,1797,0,37.7,16.1,1.3,245,18.09.16
,HP,1254,0,24.6,5.8,1.2,169,18.09.16
,J&K,1790,447,36.4,16.2,-1.7,209,18.09.16
,Chandigarh,268,0,5.4,5.8,-0.4,52,18.09.16
WR,Chhattisgarh,3229,0,73.5,20.5,-1.6,137,18.09.16
,Gujarat,14235,5,317.5,73.4,-2.5,384,18.09.16
,MP,6820,2,152.5,96.2,-2.0,152,18.09.16
,Maharashtra,16285,0,336.5,74.1,1.4,659,18.09.16
,Goa,386,0,7.0,7.6,-1.2,43,18.09.16
,DD,300,0,6.7,6.5,0.2,60,18.09.16
,DNH,725,0,16.6,16.8,-0.2,39,18.09.16
,Essar steel,438,0,8.2,9.7,-1.5,99,18.09.16
SR,Andhra Pradesh,6445,0,138.2,5.2,-0.2,523,18.09.16
,Telangana,6196,0,130.8,65.3,2.0,371,18.09.16
,Karnataka,7872,0,171.4,53.0,0.7,649,18.09.16
,Kerala,3249,0,62.2,45.8,0.8,139,18.09.16
,Tamil Nadu,13337,0,284.6,114.9,-1.2,774,18.09.16
,Pondy,310,0,6.7,7.1,-0.4,47,18.09.16
ER,Bihar,3225,0,65.9,66.2,-0.3,389,18.09.16
,DVC,2569,0,57.9,-23.3,0.8,425,18.09.16
,Jharkhand,1001,0,21.6,15.2,-1.0,115,18.09.16
,Odisha,3903,0,76.0,21.7,1.3,345,18.09.16
,West Bengal,7089,0,136.4,37.2,1.1,435,18.09.16
,Sikkim,75,0,1.3,1.3,0.0,20,18.09.16
NER,Arunachal Pradesh,105,0,1.8,2.0,-0.2,20,18.09.16
,Assam,1502,7,28.8,20.5,2.4,250,18.09.16
,Manipur,117,0,1.8,2.2,-0.4,17,18.09.16
,Meghalaya,242,0,4.9,0.6,0.9,44,18.09.16
,Mizoram,65,3,1.1,0.9,0.2,25,18.09.16
,Nagaland,102,5,1.8,1.8,0.0,28,18.09.16
,Tripura,238,0,4.1,3.3,1.1,30,18.09.16
All India,0.029,0.00,0.00,0.89,0.89,72.95,26.16,,18.09.17
,,,,,,,,,18.09.17
C. Power Supply Position in States,,,,,,,,,18.09.17
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum
Demand (MW)","Energy Met
(MU)","Drawal
Schedule (MU)","OD(+)/UD(-)
(MU)","Max OD
(MW)","Energy
Shortage (MU)",18.09.17
NR,Punjab,9214,0,201.4,94.6,0.3,168,0.0,18.09.17
,Haryana,7832,0,162.1,108.1,0.9,157,0.0,18.09.17
,Rajasthan,9052,0,199.8,73.7,1.3,376,0.0,18.09.17
,Delhi,4897,0,98.1,73.4,-3.1,37,0.1,18.09.17
,UP,17417,2590,397.5,194.1,0.9,377,4.3,18.09.17
,Uttarakhand,1748,0,36.8,9.8,-0.7,75,0.0,18.09.17
,HP,1187,0,26.0,7.2,0.5,99,0.0,18.09.17
,J&K,2030,507,40.2,21.7,4.8,426,9.5,18.09.17
,Chandigarh,222,0,4.5,5.2,-0.6,10,0.0,18.09.17
WR,Chhattisgarh,3869,0,84.4,25.0,-1.0,241,0.0,18.09.17
,Gujarat,12839,0,286.9,44.1,1.5,402,0.0,18.09.17
,MP,7366,0,166.7,107.4,-0.4,470,0.0,18.09.17
,Maharashtra,16420,0,364.7,110.4,-2.9,514,0.6,18.09.17
,Goa,385,0,8.0,8.1,-0.3,25,0.0,18.09.17
,DD,298,0,6.7,6.2,0.5,37,0.0,18.09.17
,DNH,714,0,16.3,15.9,0.4,55,0.0,18.09.17
,Essar steel,411,0,8.1,7.7,0.4,145,0.0,18.09.17
SR,Andhra Pradesh,6511,0,138.6,29.6,-0.5,416,0.0,18.09.17
,Telangana,7491,0,163.5,70.5,0.3,403,0.0,18.09.17
,Karnataka,5925,0,126.6,26.8,-9.0,309,0.0,18.09.17
,Kerala,2580,0,53.3,37.4,0.1,172,0.0,18.09.17
,Tamil Nadu,10910,0,239.2,114.2,-2.4,498,0.0,18.09.17
,Pondy,278,0,6.1,6.8,-0.6,34,0.0,18.09.17
ER,Bihar,4268,0,88.0,81.9,0.8,350,0.0,18.09.17
,DVC,2770,0,62.2,-29.9,0.1,370,0.0,18.09.17
,Jharkhand,1086,0,23.4,17.0,0.1,100,0.0,18.09.17
,Odisha,4276,0,89.5,40.4,4.1,460,0.0,18.09.17
,West Bengal,8101,0,145.6,51.4,2.0,320,0.0,18.09.17
,Sikkim,65,0,0.8,0.9,-0.1,8,0.0,18.09.17
NER,Arunachal Pradesh,108,2,2.2,2.5,-0.2,3,0.1,18.09.17
,Assam,1467,160,26.7,22.3,-0.1,244,2.2,18.09.17
,Manipur,139,3,2.1,2.2,-0.1,31,0.1,18.09.17
,Meghalaya,195,0,3.8,0.5,0.0,66,0.0,18.09.17
,Mizoram,78,4,1.3,1.3,-0.1,10,0.1,18.09.17
,Nagaland,117,1,2.1,1.9,0.0,21,0.0,18.09.17
,Tripura,235,0,5.2,4.2,0.2,85,0.1,18.09.17
Region,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum Demand
(MW)",Energy Met (MU),"Drawal
Schedule (MU)","OD(+)/UD(-)
(MU)","Max OD
(MW)","Energy
Shortage (MU)",18.09.18
,Punjab,9358,0,219.8,88.9,-0.1,125,0.0,18.09.18
,Haryana,8645,0,182.1,122.1,2.1,409,0.0,18.09.18
,Rajasthan,9900,0,218.8,53.8,1.5,440,0.0,18.09.18
,Delhi,5075,0,106.1,83.1,-0.8,174,0.0,18.09.18
NR,UP,17667,280,374.5,159.1,-0.1,335,0.3,18.09.18
,Uttarakhand,1830,0,37.9,15.4,1.5,228,0.0,18.09.18
,HP,1373,0,26.9,5.2,2.5,248,0.0,18.09.18
,J&K,2056,514,39.6,28.0,-5.0,43,9.3,18.09.18
,Chandigarh,248,0,4.9,5.3,-0.3,34,0.0,18.09.18
WR,Chhattisgarh,4077,0,92.0,25.9,-2.0,151,0.0,18.09.18
,Gujarat,17449,0,381.6,108.7,7.5,1097,0.0,18.09.18
,MP,9223,0,202.5,87.3,2.3,519,0.0,18.09.18
,Maharashtra,22804,0,488.0,165.6,0.9,730,0.0,18.09.18
,Goa,425,0,11.0,8.7,-0.1,68,0.0,18.09.18
,DD,327,0,7.2,6.2,1.0,77,0.0,18.09.18
,DNH,746,0,17.6,16.8,0.9,97,0.0,18.09.18
,Essar steel,535,0,10.9,11.5,-0.6,256,0.0,18.09.18
SR,Andhra Pradesh,7331,0,162.6,32.8,0.3,584,0.0,18.09.18
,Telangana,10475,0,209.6,106.1,-0.5,446,0.0,18.09.18
,Karnataka,8931,0,193.0,48.9,-0.2,880,0.0,18.09.18
,Kerala,3590,0,69.6,44.6,1.1,231,0.0,18.09.18
,Tamil Nadu,13546,0,284.9,104.2,-1.5,555,0.0,18.09.18
,Pondy,330,0,6.9,7.2,-0.3,28,0.0,18.09.18
,Bihar,4973,0,97.8,95.5,1.8,100,0.6,18.09.18
,DVC,2447,0,49.8,-26.8,7.2,560,0.8,18.09.18
ER,Jharkhand,1000,0,23.7,17.2,-0.9,20,0.0,18.09.18
,Odisha,4583,0,92.9,26.0,-0.4,200,0.0,18.09.18
,West Bengal,8021,0,159.1,58.0,3.4,400,0.0,18.09.18
,Sikkim,85,0,1.0,1.2,-0.2,0,0.0,18.09.18
NER,Arunachal Pradesh,120,4,2.6,2.5,0.1,34,0.0,18.09.18
,Assam,1712,11,31.5,24.3,0.9,243,0.2,18.09.18
,Manipur,178,2,2.2,2.2,0.0,47,0.0,18.09.18
,Meghalaya,265,4,4.5,0.1,-0.3,46,0.0,18.09.18
,Mizoram,75,2,1.7,1.0,0.4,11,0.0,18.09.18
,Nagaland,114,5,2.4,1.8,0.2,13,0.0,18.09.18
,Tripura,271,4,5.2,4.0,0.3,67,0.0,18.09.18
